mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death,
Sigmundur Gudmundsson,['mathematician'],"['Iceland', 'Sweden']",NULL,NULL,"['University of Leeds', 'University of Bonn', 'University of Iceland']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1960,FALSE,NULL,NULL,NULL,
Sabir Gusein-Zade,['mathematician'],['Russia'],"Moscow, Russian Soviet Federative Socialist Republic, Soviet Union",NULL,['Moscow State University'],NULL,NULL,NULL,NULL,['Eugene Dynkin'],NULL,NULL,NULL,NULL,NULL,"['applied mathematics', 'topology']",NULL,NULL,['human'],['male'],FALSE,29,July,1950,FALSE,NULL,NULL,NULL,
Charles Dupin,"['mathematician', 'politician', 'economist', 'engineer']",['France'],Varzy,18 January 1873,['École Polytechnique'],NULL,['Paris'],"['French Academy of Sciences', 'Russian Academy of Sciences', 'Royal Swedish Academy of Sciences', 'Académie des Sciences Morales et Politiques', 'Russian Academy of Sciences']",NULL,NULL,['French'],NULL,NULL,NULL,"['member of the French National Assembly', 'Councillor of State', 'Second Empire senator', 'member of the Chamber of Peers']",['differential geometry'],['Grand Officer of the Legion of Honour'],NULL,['human'],['male'],FALSE,6,October,1784,FALSE,18,January,1873,
Pyotr Semyonov-Tyan-Shansky,"['explorer', 'statistician', 'geographer', 'botanist', 'entomologist']",['Russian Empire'],Q4402569,26-Feb-14,['Q3577830'],NULL,['Saint Petersburg'],['Russian Academy of Sciences'],NULL,NULL,['Russian'],NULL,NULL,NULL,NULL,"['geography', 'botany', 'statistics']","['Knight of the Order of St. Alexander Nevsky', 'Order of Merit for Arts and Science', 'Pour le Mérite', 'Founder’s Medal', '1897', 'Order of Saint Anna, 1st class', 'Order of the White Eagle', 'Order of Saint Stanislaus, 1st class', 'Order of St. Vladimir, 4th class', 'Order of St. Vladimir, 3rd class', 'Order of St. Vladimir, 2nd class', 'Order of St. Vladimir, 1st class', 'Order of St. Alexander Nevsky', 'Order of St. Vladimir, 1st class', 'Order of St. Andrew', 'Carl-Ritter-Medal', '1900']",NULL,['human'],['male'],FALSE,2,January,1827,FALSE,26,February,1914,
William Boone (mathematician),"['mathematician', 'philosopher']",['United States of America'],Cincinnati,14-Sep-83,['Princeton University'],['University of Illinois at Urbana–Champaign'],['Urbana'],NULL,['University of Illinois at Urbana–Champaign'],['Alonzo Church'],NULL,NULL,NULL,NULL,NULL,NULL,['John Simon Guggenheim Memorial Foundation Fellowship'],NULL,['human'],['male'],FALSE,16,January,1920,FALSE,14,September,1983,
Louis Rosenhead,['mathematician'],NULL,NULL,11/10/1984,NULL,NULL,NULL,['Royal Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,1,January,1906,FALSE,10,November,1984,
Pablo Ferrari,[''],NULL,NULL,NULL,NULL,NULL,NULL,['Brazilian Academy of Sciences'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,11,September,1949,FALSE,NULL,NULL,NULL,
Oswald Teichmüller,['mathematician'],['Germany'],Nordhausen,9/11/1943,['University of Göttingen'],NULL,['Dnieper River'],['Sturmabteilung'],NULL,['Helmut Hasse'],['German'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,13,June,1913,FALSE,11,September,1943,
Victor Goryunov,['mathematician'],['Soviet Union'],Soviet Union,NULL,['Moscow State University'],NULL,NULL,NULL,NULL,['Vladimir Arnold'],NULL,['Doctor of Sciences in Physics and Mathematics'],NULL,NULL,NULL,['geometry'],NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Nikolai Brashman,"['mathematician', 'university teacher', 'educator']","['Austrian Empire', 'Russian Empire']",Rousínov,25 May 1866,"['Moscow State University', 'University of Vienna']",['Kazan Federal University'],"['Moscow', 'Russian Empire']","['Russian Academy of Sciences', 'Russian Academy of Sciences']",['Kazan Federal University'],"['Joseph Johann Littrow', 'first doctoral advisor', 'Nikolai Ivanovich Lobachevsky', 'second doctoral advisor']",NULL,NULL,NULL,NULL,NULL,"['analytic geometry', 'mechanics']","['Demidov Prize', '1836']",NULL,['human'],['male'],FALSE,25,June,1796,FALSE,25,May,1866,
Henry Wallman,"['mathematician', 'topologist', 'university teacher']",['Sweden'],NULL,1992,['Princeton University'],"['Massachusetts Institute of Technology', 'Chalmers University of Technology']",NULL,"['Royal Swedish Academy of Sciences', 'Royal Swedish Academy of Engineering Sciences']","['Massachusetts Institute of Technology', 'Chalmers University of Technology']",NULL,NULL,NULL,NULL,NULL,NULL,"['lattice', 'topology']",NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1915,FALSE,NULL,NULL,1992,
Aleksander Rajchman,['mathematician'],['Poland'],Warsaw,1940,NULL,NULL,['Sachsenhausen concentration camp'],NULL,NULL,"['Hugo Steinhaus', 'second doctoral advisor', 'Stefan Mazurkiewicz', 'first doctoral advisor']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,13,November,1890,FALSE,NULL,NULL,1940,
John McWhirter (mathematician),['mathematician'],NULL,NULL,NULL,"[""Queen's University Belfast""]",NULL,NULL,['Royal Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Heinrich G. F. Schröder,"['mathematician', 'physicist', 'chemist']",['Germany'],Munich,12 May 1885,NULL,NULL,NULL,['Bavarian Academy of Sciences and Humanities'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,28,September,1810,FALSE,12,May,1885,
Carlos Biggeri,['mathematician'],['Argentina'],NULL,1965,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1908,FALSE,NULL,NULL,1965,
Vincenzo Mollame,[''],NULL,NULL,6/23/1912,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,4,July,1848,FALSE,23,June,1912,
Tjalling Koopmans,"['economist', 'mathematician']","['Kingdom of the Netherlands', 'United States of America']","""s-Graveland""",26-Feb-85,"['Utrecht University', 'University of Amsterdam', 'Leiden University']",NULL,['New Haven'],['American Academy of Arts and Sciences'],NULL,['Hans Kramers'],['English'],NULL,NULL,NULL,NULL,NULL,"['Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel', '1975', 'Leonid Kantorovich']",['4±0'],['human'],['male'],FALSE,28,August,1910,FALSE,26,February,1985,
Domenico Maria Novara da Ferrara,"['astronomer', 'mathematician', 'university teacher', 'astrologer']",NULL,Ferrara,1504,NULL,NULL,['Bologna'],NULL,NULL,"['Regiomontanus', 'first doctoral advisor', 'Luca Pacioli', 'second doctoral advisor']",['Latin'],NULL,NULL,NULL,NULL,['astronomy'],NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1454,FALSE,NULL,NULL,1504,
Zvonimir Janko,"['mathematician', 'university teacher']",['Croatia'],Bjelovar,NULL,"['Australian National University', 'University of Zagreb']","['Heidelberg University', 'University of Zagreb', 'Australian National University', 'Ohio State University', 'Monash University']",NULL,NULL,"['Heidelberg University', 'University of Zagreb', 'Australian National University', 'Ohio State University', 'Monash University']",NULL,NULL,NULL,NULL,NULL,NULL,['group theory'],NULL,['3±0'],['human'],['male'],FALSE,29,July,1932,FALSE,NULL,NULL,NULL,
Albert Joseph McConnell,['mathematician'],NULL,NULL,1993,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,1993,
George Maltese,['mathematician'],['United States of America'],Middletown,23-Oct-09,NULL,"['University of Göttingen', '1960', '1961', 'NATO fellow', 'University of Maryland, College Park']",NULL,NULL,"['University of Göttingen', '1960', '1961', 'NATO fellow', 'University of Maryland, College Park']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,24,June,1931,FALSE,23,October,2009,
Ivan M. Niven,"['mathematician', 'university teacher']","['Canada', 'United States of America']",Vancouver,9-May-99,"['University of British Columbia', 'University of Chicago']",NULL,['Eugene'],NULL,NULL,['Leonard Eugene Dickson'],['English'],NULL,NULL,NULL,NULL,['number theory'],NULL,['1±0'],['human'],['male'],FALSE,25,October,1915,FALSE,9,May,1999,
Surindar Kumar Trehan,['mathematician'],NULL,NULL,9-Sep-04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Shanti Swarup Bhatnagar Prize for Science and Technology', '1976']",NULL,['human'],['male'],FALSE,4,April,1931,FALSE,9,September,2004,
Jean Berstel,['mathematician'],NULL,Nîmes,NULL,['Paris Diderot University'],NULL,NULL,NULL,NULL,['Marcel-Paul Schützenberger'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1941,FALSE,NULL,NULL,NULL,
Petr Ufimtsev,"['mathematician', 'physicist']","['Russia', 'Soviet people']",Altai Krai,NULL,['Odessa University'],['Institute of Radio-engineering and Electronics'],NULL,NULL,['Institute of Radio-engineering and Electronics'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1931,FALSE,NULL,NULL,NULL,
George Ridsdale Goldsbrough,[''],NULL,NULL,5/26/1963,NULL,NULL,NULL,['Royal Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,19,May,1881,FALSE,26,May,1963,
Ctesibius,"['inventor', 'mathematician']",['Ptolemaic dynasty'],Alexandria,221 BCE,NULL,NULL,['Alexandria'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['pneumatics'],NULL,NULL,['human'],['male'],FALSE,NULL,NULL,-284,FALSE,NULL,NULL,-221,
Ralph Grimaldi,['mathematician'],['United States of America'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1943,FALSE,NULL,NULL,NULL,
Joan Francés Fulcònis,['mathematician'],['France'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1520,FALSE,NULL,NULL,NULL,
D. D. Morduhai-Boltovskoi,['mathematician'],"['Russian Empire', 'Soviet Union']",Pavlovsk,7-Feb-52,['Saint Petersburg State University'],['University of Warsaw'],['Rostov-on-Don'],NULL,['University of Warsaw'],['Konstantin Posse'],['Russian'],NULL,NULL,NULL,NULL,"['mathematical analysis', 'number theory', 'projective geometry', 'differential geometry', 'differential equation', 'mathematical logic', 'history of mathematics']",NULL,NULL,['human'],['male'],FALSE,9,August,1876,FALSE,7,February,1952,
Arthur Harold Stone,"['mathematician', 'topologist']",['United Kingdom'],NULL,6-Aug-00,"['Trinity College', 'Princeton University', '1939', 'mathematics']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['1±0'],['human'],['male'],FALSE,30,September,1916,FALSE,6,August,2000,
Prabhakar Raghavan,['computer scientist'],['India'],NULL,NULL,"['University of California, Berkeley', 'Indian Institute of Technology Madras']",['IBM'],NULL,['National Academy of Engineering'],['IBM'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,25,September,1960,FALSE,NULL,NULL,NULL,
Lazarus Bendavid,"['mathematician', 'philosopher', 'university teacher']",['Germany'],Berlin,28 March 1832,NULL,['University of Vienna'],['Berlin'],NULL,['University of Vienna'],NULL,['German'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,18,October,1762,FALSE,28,March,1832,
Margaret Clement,['mathematician'],['United Kingdom'],NULL,6 July 1570,NULL,NULL,['Mechelen'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,NULL,NULL,1508,FALSE,6,July,1570,
Anatoly Karatsuba,"['mathematician', 'university teacher']",['Russia'],Grozny,28-Sep-08,['Moscow State University'],['Steklov Institute of Mathematics'],['Moscow'],NULL,['Steklov Institute of Mathematics'],['Nickolay Korobov'],NULL,['Doctor of Sciences in Physics and Mathematics'],NULL,NULL,NULL,"['mathematical analysis', 'number theory', 'physics']",['Honoured Science Worker of the Russian Federation'],NULL,['human'],['male'],FALSE,31,January,1937,FALSE,28,September,2008,
Jacqueline Ferrand,['mathematician'],['France'],Alès,26-Apr-14,['École Normale Supérieure'],NULL,['Sceaux'],NULL,NULL,NULL,['French'],NULL,NULL,NULL,NULL,NULL,"['Q3405286', '1974']",NULL,['human'],['female'],FALSE,17,February,1918,FALSE,26,April,2014,
Stephen Milne (mathematician),['mathematician'],['United States of America'],NULL,NULL,"['University of California, San Diego']",NULL,NULL,['American Mathematical Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Euler Medal', '2007']",NULL,['human'],['male'],TRUE,NULL,NULL,1900,FALSE,NULL,NULL,NULL,
Walter A. Shewhart,"['physicist', 'engineer', 'statistician', 'economist']",['United States of America'],New Canton,11-Mar-67,['University of Illinois system'],NULL,['Parsippany-Troy Hills'],NULL,NULL,NULL,['Thai'],NULL,NULL,NULL,NULL,NULL,"['Holley Medal', '1954']",NULL,['human'],['male'],FALSE,18,March,1891,FALSE,11,March,1967,
Marie Farge,"['mathematician', 'physicist']",['France'],NULL,NULL,"['Stanford University', '1975', '1977', 'Paris Diderot University']","['CNRS', 'École Normale Supérieure']",NULL,NULL,"['CNRS', 'École Normale Supérieure']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Poncelet Prize', '1993']",NULL,['human'],['female'],FALSE,NULL,NULL,1953,FALSE,NULL,NULL,NULL,
Géza Grünwald,['mathematician'],['Hungary'],NULL,9/7/1943,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,18,October,1910,FALSE,7,September,1943,
Olga Holtz,"['mathematician', 'university teacher']",['Russia'],Chelyabinsk,NULL,['University of Wisconsin–Madison'],['Technical University of Berlin'],NULL,['American Mathematical Society'],['Technical University of Berlin'],['Hans Schneider'],NULL,['doctoral degree'],NULL,NULL,NULL,NULL,"['Sofia Kovalevskaya Award', '2006', 'EMS Prize', '2008']",['3±1'],['human'],['female'],FALSE,19,August,1973,FALSE,NULL,NULL,NULL,
Zygmunt Vetulani (mathematician),"['mathematician', 'computer scientist', 'engineer']",['Poland'],Poznań,NULL,NULL,['Adam Mickiewicz University in Poznań'],NULL,NULL,['Adam Mickiewicz University in Poznań'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,12,September,1950,FALSE,NULL,NULL,NULL,
Angelo Genocchi,['mathematician'],['Kingdom of Italy'],Piacenza,7 March 1889,NULL,NULL,['Turin'],NULL,NULL,NULL,['Italian'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,5,March,1817,FALSE,7,March,1889,
Carlos Albán,['mathematician'],['Colombia'],Popayán,1/20/1902,['University of Cauca'],NULL,['Panama'],NULL,NULL,NULL,['Spanish'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,9,March,1844,FALSE,20,January,1902,
Rüdiger Valk,"['mathematician', 'computer scientist']",['Germany'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['doctoral degree'],NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,5,August,1945,FALSE,NULL,NULL,NULL,
Rudolf Inzinger,"['mathematician', 'university teacher']",['Austria'],Vienna,26-Aug-80,['TU Wien'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,5,April,1907,FALSE,26,August,1980,
Neil Robertson (mathematician),"['mathematician', 'university teacher']",['United States of America'],Canada,NULL,NULL,NULL,NULL,['American Mathematical Society'],NULL,['W. T. Tutte'],NULL,NULL,NULL,NULL,NULL,['graph theory'],NULL,['3±0'],['human'],['male'],FALSE,30,November,1938,FALSE,NULL,NULL,NULL,
Carlos J. Moreno,"['mathematician', 'university teacher']","['United States of America', 'Colombia']","Sevilla, Valle del Cauca",NULL,['New York University'],['City University of New York'],NULL,NULL,['City University of New York'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['2±0'],['human'],['male'],FALSE,30,July,1946,FALSE,NULL,NULL,NULL,
Frank Matthews Leslie,['mathematician'],NULL,NULL,15-Jun-00,"['Massachusetts Institute of Technology', 'University of Manchester']","['University of Strathclyde', 'Newcastle University']",NULL,['Royal Society'],"['University of Strathclyde', 'Newcastle University']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,8,March,1935,FALSE,15,June,2000,
Tiberiu Popoviciu,['mathematician'],['Romania'],Arad,12/29/1975,['University of Bucharest'],NULL,['Bucharest'],NULL,NULL,['Paul Montel'],NULL,['Doctor of Sciences in Physics and Mathematics'],['Dimitrie D. Stancu'],NULL,NULL,['mathematics'],NULL,NULL,['human'],['male'],FALSE,16,February,1906,FALSE,29,December,1975,
Solomon Lefschetz,"['mathematician', 'topologist', 'university teacher']",['United States of America'],Moscow,5-Oct-72,"['École Centrale Paris', 'Clark University']",['University of Kansas'],['Princeton'],['Royal Society'],['University of Kansas'],['William Edward Story'],['English'],NULL,NULL,NULL,NULL,NULL,"['National Medal of Science', '1964', 'mathematics', 'computer science', 'Lyndon B. Johnson']",['3±0'],['human'],['male'],FALSE,3,September,1884,FALSE,5,October,1972,
Eduard Study,"['mathematician', 'university teacher']",['Germany'],Coburg,6-Jan-30,NULL,"['University of Bonn', 'University of Greifswald']",['Bonn'],['Prussian Academy of Sciences'],"['University of Bonn', 'University of Greifswald']",['Philipp Ludwig von Seidel'],['German'],NULL,NULL,['natural causes'],NULL,NULL,NULL,NULL,['human'],['male'],FALSE,23,March,1862,FALSE,6,January,1930,
René Thom,"['mathematician', 'university teacher']",['France'],Montbéliard,25-Oct-02,"['École Normale Supérieure', 'Lycée Saint-Louis']",['Institut des Hautes Études Scientifiques'],['Bures-sur-Yvette'],"['French Academy of Sciences', 'American Academy of Arts and Sciences', 'German Academy of Sciences Leopoldina']",['Institut des Hautes Études Scientifiques'],['Henri Cartan'],['French'],NULL,NULL,NULL,NULL,['topology'],"['Fields Medal', '1958', 'Brouwer Medal', '1970', 'National Order of Scientific Merit', 'Q28496163', '1970']",['4±0'],['human'],['male'],FALSE,2,September,1923,FALSE,25,October,2002,
Robert Kupperman,['mathematician'],['United States of America'],NULL,11/24/2006,['New York University'],['New York University'],NULL,NULL,['New York University'],NULL,NULL,NULL,NULL,['natural causes'],NULL,NULL,NULL,NULL,['human'],['male'],FALSE,12,May,1935,FALSE,24,November,2006,
Nikolai Bugaev,"['mathematician', 'philosopher', 'university teacher']",['Russian Empire'],Dusheti,29-May-03,['Imperial University of Moscow'],['Imperial University of Moscow'],['Moscow'],['Russian Academy of Sciences'],['Imperial University of Moscow'],"['Karl Weierstraß', 'Ernst Kummer', 'Joseph Liouville']",NULL,NULL,['Dmitri Egorov'],NULL,NULL,"['mathematical analysis', 'number theory', 'philosophy', 'Function theory']",NULL,NULL,['human'],['male'],FALSE,14,September,1837,FALSE,29,May,1903,
Yom Tov Lipman Lipkin,['mathematician'],"['Lithuania', 'Russian Empire']",Salantai,21 February 1876,['University of Jena'],NULL,['Saint Petersburg'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['geometry'],NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1846,FALSE,21,February,1876,
